"","state","lon","lat"
"1","Wyoming",-107.2902839,43.0759678
"2","Wisconsin",-88.7878678,43.7844397
"3","West Virginia",-80.4549026,38.5976262
"4","Washington",-120.7401385,47.7510741
"5","Virginia",-78.6568942,37.4315734
"6","Vermont",-72.5778415,44.5588028
"7","Utah",-111.0937311,39.3209801
"8","Texas",-99.9018131,31.9685988
"9","Tennessee",-86.5804473,35.5174913
"10","South Dakota",-99.9018131,43.9695148
"11","South Carolina",-81.1637245,33.836081
"12","Rhode Island",-71.4774291,41.5800945
"13","Pennsylvania",-77.1945247,41.2033216
"14","Oregon",-120.5542012,43.8041334
"15","Oklahoma",-97.092877,35.0077519
"16","Ohio",-82.907123,40.4172871
"17","North Dakota",-101.0020119,47.5514926
"18","North Carolina",-79.0192997,35.7595731
"19","New York",-74.0059728,40.7127753
"20","New Mexico",-105.8700901,34.5199402
"21","New Jersey",-74.4056612,40.0583238
"22","New Hampshire",-71.5723953,43.1938516
"23","Nevada",-116.419389,38.8026097
"24","Nebraska",-99.9018131,41.4925374
"25","Montana",-110.3625658,46.8796822
"26","Missouri",-91.8318334,37.9642529
"27","Mississippi",-89.3985283,32.3546679
"28","Minnesota",-94.6858998,46.729553
"29","Michigan",-85.6023643,44.3148443
"30","Massachusetts",-71.3824374,42.4072107
"31","Maryland",-76.6412712,39.0457549
"32","Maine",-69.4454689,45.253783
"33","Louisiana",-91.9623327,30.9842977
"34","Kentucky",-84.2700179,37.8393332
"35","Kansas",-98.4842465,39.011902
"36","Iowa",-93.097702,41.8780025
"37","Indiana",-86.1349019,40.2671941
"38","Illinois",-89.3985283,40.6331249
"39","Idaho",-114.7420408,44.0682019
"40","Hawaii",-155.5827818,19.8967662
"41","Georgia",-82.9000751,32.1656221
"42","Florida",-81.5157535,27.6648274
"43","Delaware",-75.5276699,38.9108325
"44","Connecticut",-73.087749,41.6032207
"45","Colorado",-105.7820674,39.5500507
"46","California",-119.4179324,36.778261
"47","Arkansas",-91.8318334,35.20105
"48","Arizona",-111.0937311,34.0489281
"49","Alaska",-149.4936733,64.2008413
"50","Alabama",-86.902298,32.3182314
